X,Y,Z,formation,group
456626.896442,6786131.540787,-1795.3924559999998,tarbert,tarbert d
456676.896442,6785631.540787,-1782.736938,tarbert,tarbert d
456426.896442,6785931.540787,-1845.457886,tarbert,tarbert d
455776.896442,6788181.540787,-1916.542725,tarbert,tarbert d
456826.896442,6786181.540787,-1759.960571,tarbert,tarbert d
456326.896442,6786181.540787,-1834.0399170000003,tarbert,tarbert d
455726.896442,6787631.540787,-1890.0635989999998,tarbert,tarbert d
456226.896442,6787581.540787,-1874.081543,tarbert,tarbert d
458421.547992,6786484.343033,-1763.37915,tarbert,tarbert f
457721.547992,6787634.343033,-1816.9520260000002,tarbert,tarbert f
457971.547992,6787434.343033,-1789.2045899999998,tarbert,tarbert f
458071.547992,6785984.343033,-1746.133423,tarbert,tarbert f
458371.547992,6786884.343033,-1767.015869,tarbert,tarbert f
458521.547992,6788084.343033,-1805.564209,tarbert,tarbert f
457821.547992,6787984.343033,-1850.717529,tarbert,tarbert f
457671.547992,6785884.343033,-1753.054932,tarbert,tarbert f
458071.547992,6786684.343033,-1757.014404,tarbert,tarbert f
458421.547992,6785534.343033,-1739.554321,tarbert,tarbert f
458271.547992,6786484.343033,-1766.9315190000002,tarbert,tarbert f
457621.547992,6786934.343033,-1777.355591,tarbert,tarbert f
458271.547992,6787784.343033,-1786.2628170000003,tarbert,tarbert f
458471.547992,6787584.343033,-1784.593018,tarbert,tarbert f
457471.547992,6787234.343033,-1815.6936039999998,tarbert,tarbert f
457971.547992,6786184.343033,-1766.390503,tarbert,tarbert f
458371.547992,6786084.343033,-1762.09082,tarbert,tarbert f
457521.547992,6787734.343033,-1864.67981,tarbert,tarbert f
457921.547992,6786884.343033,-1765.780884,tarbert,tarbert f
458321.547992,6787034.343033,-1767.936279,tarbert,tarbert f
456113.355556,6786779.716996,-1795.6033940000002,unconformity,unconformity
455513.355556,6785829.716996,-1799.989868,unconformity,unconformity
458763.355556,6787679.716996,-1759.232666,unconformity,unconformity
455963.355556,6787629.716996,-1837.19519,unconformity,unconformity
457963.355556,6785629.716996,-1712.305298,unconformity,unconformity
457013.355556,6787829.716996,-1784.3295899999998,unconformity,unconformity
458363.355556,6785579.716996,-1719.788086,unconformity,unconformity
455163.355556,6786129.716996,-1842.29187,unconformity,unconformity
458213.355556,6788179.716996,-1800.2290039999998,unconformity,unconformity
