X,Y,Z,surface,group
455270.57326000003,6782941.468155,-1892.8807370000002,ness,ness G
455620.57326000003,6783441.468155,-1867.593384,ness,ness G
455820.57326000003,6782541.468155,-1802.276245,ness,ness G
455820.57326000003,6782491.468155,-1800.674561,ness,ness G
455820.57326000003,6782491.468155,-1800.674561,ness,ness G
455270.57326000003,6783091.468155,-1911.723877,ness,ness G
455720.57326000003,6783241.468155,-1850.863525,ness,ness G
455720.57326000003,6783141.468155,-1855.701782,ness,ness G
455920.57326000003,6782991.468155,-1818.533325,ness,ness G
455970.57326000003,6782791.468155,-1802.034424,ness,ness G
455220.57326000003,6782891.468155,-1887.163086,ness,ness G
455920.57326000003,6782641.468155,-1799.096924,ness,ness G
455120.57326000003,6782591.468155,-1892.1074219999998,ness,ness G
455120.57326000003,6782591.468155,-1892.1074219999998,ness,ness G
455870.57326000003,6783291.468155,-1830.721313,ness,ness G
455270.57326000003,6782891.468155,-1885.0258789999998,ness,ness G
455370.57326000003,6783191.468155,-1894.358887,ness,ness G
455270.57326000003,6782541.468155,-1885.91333,ness,ness G
455870.57326000003,6782891.468155,-1819.0018309999998,ness,ness G
455320.57326000003,6782891.468155,-1881.885864,ness,ness G
455520.57326000003,6782941.468155,-1868.6774899999998,ness,ness G
455470.57326000003,6782841.468155,-1864.643188,ness,ness G
455370.57326000003,6782941.468155,-1880.1070559999998,ness,ness G
455470.57326000003,6782391.468155,-1843.4393309999998,ness,ness G
455270.57326000003,6782791.468155,-1881.4119870000002,ness,ness G
455170.57326000003,6783091.468155,-1924.5688480000001,ness,ness G
455270.57326000003,6782541.468155,-1885.91333,ness,ness G
455870.57326000003,6783341.468155,-1830.723022,ness,ness G
455870.57326000003,6783091.468155,-1829.863647,ness,ness G
455370.57326000003,6782491.468155,-1876.804443,ness,ness G
455720.57326000003,6782441.468155,-1814.309082,ness,ness G
451478.351825,6781571.772599,-1932.763184,tarbert,tarbert a
453128.351825,6788171.772599,-1963.27832,tarbert,tarbert a
453578.351825,6787471.772599,-1884.251221,tarbert,tarbert a
452678.351825,6785171.772599,-1908.43042,tarbert,tarbert a
453078.351825,6786671.772599,-1884.195435,tarbert,tarbert a
453228.351825,6787471.772599,-1914.125488,tarbert,tarbert a
451828.351825,6781971.772599,-1906.897461,tarbert,tarbert a
453078.351825,6786321.772599,-1882.258301,tarbert,tarbert a
452578.351825,6785121.772599,-1873.807983,tarbert,tarbert a
451978.351825,6781221.772599,-1836.031982,tarbert,tarbert a
453178.351825,6786221.772599,-1883.487305,tarbert,tarbert a
451678.351825,6784571.772599,-1933.964111,tarbert,tarbert a
452628.351825,6785121.772599,-1881.395752,tarbert,tarbert a
452578.351825,6785471.772599,-1883.68811,tarbert,tarbert a
451778.351825,6784271.772599,-1934.980103,tarbert,tarbert a
452128.351825,6784571.772599,-1915.0056149999998,tarbert,tarbert a
453378.351825,6786471.772599,-1873.354736,tarbert,tarbert a
452178.351825,6781371.772599,-1853.7760010000002,tarbert,tarbert a
453678.351825,6788671.772599,-1946.504761,tarbert,tarbert a
451678.351825,6782371.772599,-1904.625732,tarbert,tarbert a
451578.351825,6781621.772599,-1923.9116210000002,tarbert,tarbert a
453178.351825,6788671.772599,-1977.8344730000001,tarbert,tarbert a
453678.351825,6787471.772599,-1886.549805,tarbert,tarbert a
451628.351825,6782271.772599,-1904.8304440000002,tarbert,tarbert a
451628.351825,6783871.772599,-1915.1818850000002,tarbert,tarbert a
452128.351825,6784771.772599,-1896.953735,tarbert,tarbert a
453378.351825,6787721.772599,-1919.35083,tarbert,tarbert a
453028.351825,6787621.772599,-1955.429077,tarbert,tarbert a
451678.351825,6781971.772599,-1920.5718989999998,tarbert,tarbert a
452128.351825,6784571.772599,-1915.0056149999998,tarbert,tarbert a
451678.351825,6784571.772599,-1933.964111,tarbert,tarbert a
451578.351825,6783821.772599,-1928.5225829999997,tarbert,tarbert a
452478.351825,6784921.772599,-1887.145752,tarbert,tarbert a
451878.351825,6781921.772599,-1904.737427,tarbert,tarbert a
453028.351825,6787421.772599,-1929.667969,tarbert,tarbert a
451578.351825,6784571.772599,-1928.2131350000002,tarbert,tarbert a
452628.351825,6786571.772599,-1911.988159,tarbert,tarbert a
451328.351825,6783821.772599,-1946.604248,tarbert,tarbert a
452178.351825,6781171.772599,-1820.6893309999998,tarbert,tarbert a
451328.351825,6784521.772599,-1947.9549559999998,tarbert,tarbert a
453128.351825,6785921.772599,-1887.0366210000002,tarbert,tarbert a
451378.351825,6781721.772599,-1936.626709,tarbert,tarbert a
451478.351825,6784621.772599,-1944.2441410000001,tarbert,tarbert a
